transportmean_name,line_number,order_number,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
METRO,5,5_1,par_4_253,253,EL CAPRICHO,Calle de Pinos de Osuna 15,40.45347,-3.59401,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,5,5_2,par_4_74,74,CANILLEJAS,Calle de Alcalá 631,40.44942,-3.60816,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5_3,par_4_75,75,TORRE ARIAS,Calle de Alcalá 557,40.443740000000005,-3.61699,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5_4,par_4_76,76,SUANZES,Calle de Alcalá 527,40.44085,-3.62684,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5_5,par_4_77,77,CIUDAD LINEAL,Calle de Arturo Soria 2,40.43805,-3.63816,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5_6,par_4_78,78,PUEBLO NUEVO,Calle de Alcalá 372,40.43569,-3.6428199999999995,A,http://www.crtm.es,0,est_4_78,Europe/Madrid,0
METRO,5,5_7,par_4_79,79,QUINTANA,Calle de la Virgen del Sagrario 2,40.43358,-3.64736,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5_8,par_4_80,80,EL CARMEN,Calle de Raquel Méller 2,40.43189,-3.6575699999999998,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5_9,par_4_28,28,VENTAS,Calle de Alcalá 204,40.43088,-3.6636599999999997,A,http://www.crtm.es,0,est_4_28,Europe/Madrid,0
METRO,5,5_10,par_4_63,63,DIEGO DE LEON,Calle de Diego de León 69,40.43468,-3.67495,A,http://www.crtm.es,0,est_4_63,Europe/Madrid,0
METRO,5,5_11,par_4_83,83,NUNEZ DE BALBOA,Calle de Juan Bravo 20,40.43278,-3.68258,A,http://www.crtm.es,0,est_4_83,Europe/Madrid,0
METRO,5,5_12,par_4_84,84,RUBEN DARIO,Paseo de Eduardo Dato 33,40.43316,-3.68954,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5_13,par_4_57,57,ALONSO MARTINEZ,Plaza de Alonso Martínez 4,40.42772,-3.6959400000000002,A,http://www.crtm.es,0,est_4_57,Europe/Madrid,0
METRO,5,5_14,par_4_86,86,CHUECA,Plaza de Chueca 7,40.42293,-3.6976199999999997,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5_15,par_4_11,11,GRAN VIA,Calle   Gran Vía 23,40.42001,-3.7018,A,http://www.crtm.es,0,est_4_11,Europe/Madrid,0
METRO,5,5_16,par_4_49,49,CALLAO,Plaza del Callao 3,40.42014,-3.70566,A,http://www.crtm.es,0,est_4_49,Europe/Madrid,2
METRO,5,5_17,par_4_36,36,OPERA,Plaza de Isabel II 9,40.41809,-3.7094199999999997,A,http://www.crtm.es,0,est_4_36,Europe/Madrid,0
METRO,5,5_18,par_4_90,90,LA LATINA,Calle de San Millán 5,40.41128,-3.70816,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5_19,par_4_91,91,PUERTA DE TOLEDO,Gta de Puerta de Toledo 1,40.40704,-3.71105,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5_20,par_4_92,92,ACACIAS,Paseo de las Acacias 20,40.40387,-3.70664,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5_21,par_4_93,93,PIRAMIDES,Paseo del Doctor Vallejo Nágera 37,40.4026,-3.71138,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,5,5_22,par_4_94,94,MARQUES DE VADILLO,Gta del Marqués de Vadillo 4,40.39736,-3.71596,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5_23,par_4_95,95,URGEL,Calle del Camino Viejo de Leganés 1,40.39335,-3.7236,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5_24,par_4_96,96,OPORTO,Gta del Valle de Oro 13,40.388459999999995,-3.7313199999999997,A,http://www.crtm.es,0,est_4_96,Europe/Madrid,0
METRO,5,5_25,par_4_97,97,VISTA ALEGRE,Calle de la Oca 74,40.38885,-3.73982,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5_26,par_4_98,98,CARABANCHEL,Gta del Ejército 1,40.38783,-3.7448699999999997,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5_27,par_4_99,99,EUGENIA DE MONTIJO,Calle de Ocaña 86,40.38439,-3.75121,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,5,5_28,par_4_100,100,ALUCHE,Calle de Valmojado 293,40.38563,-3.7608,A,http://www.crtm.es,0,est_90_1,,2
METRO,5,5_29,par_4_101,101,EMPALME,Calle de Tembleque 105,40.390570000000004,-3.76535,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,5,5_30,par_4_102,102,CAMPAMENTO,Avda del Padre Piquer 7,40.39481,-3.76813,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5_31,par_4_103,103,CASA DE CAMPO,Ctra del Zoo 1,40.403240000000004,-3.7610099999999997,A,http://www.crtm.es,0,est_4_103,Europe/Madrid,2
METRO,6,6_0,par_4_104,104,LAGUNA,Calle de Cuart de Poblet 1,40.399229999999996,-3.7442900000000003,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6_1,par_4_105,105,CARPETANA,Calle   Vía Carpetana 141,40.3927,-3.74099,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6_2,par_4_96,96,OPORTO,Gta del Valle de Oro 13,40.388459999999995,-3.7313199999999997,A,http://www.crtm.es,0,est_4_96,Europe/Madrid,0
METRO,6,6_3,par_4_107,107,OPANEL,Calle del Valle de Oro 50 A,40.3869,-3.7231300000000003,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6_4,par_4_108,108,PLAZA ELIPTICA,Plaza de Fernández Ladreda 2,40.3846,-3.7183699999999997,A,http://www.crtm.es,0,est_90_36,,2
METRO,6,6_5,par_4_109,109,USERA,Calle de Amparo Usera 44,40.3871,-3.7069,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6_6,par_4_43,43,LEGAZPI,Plaza de Legazpi 2 B,40.39116,-3.6951099999999997,A,http://www.crtm.es,0,est_4_43,Europe/Madrid,2
METRO,6,6_7,par_4_259,259,ARGANZUELA-PLANETARIO,Calle del Bronce 1 A,40.3931,-3.6886400000000004,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,6,6_8,par_4_111,111,MENDEZ ALVARO,Calle del Ombu 16,40.395379999999996,-3.67814,A,http://www.crtm.es,0,est_90_13,,0
METRO,6,6_9,par_4_18,18,PACIFICO,Avda de la Ciudad de Barcelona 79,40.40126,-3.6751400000000003,A,http://www.crtm.es,0,est_4_18,Europe/Madrid,0
METRO,6,6_10,par_4_113,113,CONDE DE CASAL,Plaza del Conde de Casal 3,40.40697,-3.67041,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,6,6_11,par_4_114,114,SAINZ DE BARANDA,Calle del Doctor Esquerdo 103,40.41507,-3.66951,A,http://www.crtm.es,0,est_4_114,Europe/Madrid,0
METRO,6,6_12,par_4_115,115,ODONNELL,Calle del Doctor Esquerdo 47,40.42289,-3.6686,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6_13,par_4_29,29,MANUEL BECERRA,Plaza de Manuel Becerra 1,40.4279,-3.66926,A,http://www.crtm.es,0,est_4_29,Europe/Madrid,0
METRO,6,6_14,par_4_63,63,DIEGO DE LEON,Calle de Diego de León 69,40.43468,-3.67495,A,http://www.crtm.es,0,est_4_63,Europe/Madrid,0
METRO,6,6_15,par_4_64,64,AVENIDA DE AMERICA,Avda de América 9 A,40.43803,-3.6766400000000004,A,http://www.crtm.es,0,est_90_4,,0
METRO,6,6_16,par_4_119,119,REPUBLICA ARGENTINA,Calle de Joaquín Costa 24,40.44379,-3.6840599999999997,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6_17,par_4_120,120,NUEVOS MINISTERIOS,Calle de Raimundo Fernández Villaverde 67,40.44662,-3.6924099999999997,A,http://www.crtm.es,0,est_90_71,,2
METRO,6,6_18,par_4_6,6,CUATRO CAMINOS,Gta de Cuatro Caminos 2,40.44697,-3.7039699999999995,A,http://www.crtm.es,0,est_4_6,Europe/Madrid,2
METRO,6,6_19,par_4_122,122,GUZMAN EL BUENO,Calle de Guzmán el Bueno 118,40.44637,-3.7122900000000003,A,http://www.crtm.es,0,est_4_122,Europe/Madrid,2
METRO,6,6_20,par_4_123,123,VICENTE ALEIXANDRE,Avda de Gregorio del Amo 4,40.44644,-3.7194300000000005,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6_21,par_4_124,124,CIUDAD UNIVERSITARIA,Avda  Complutense 1,40.44356,-3.72678,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,6,6_22,par_4_53,53,MONCLOA,Plaza de la Moncloa 1,40.43502,-3.71945,A,http://www.crtm.es,0,est_90_14,,2
METRO,6,6_23,par_4_52,52,ARGUELLES,Calle de Alberto Aguilera 72,40.430659999999996,-3.71596,A,http://www.crtm.es,0,est_4_52,Europe/Madrid,0
METRO,6,6_24,par_4_127,127,PRINCIPE PIO,Paseo de la Florida 2,40.42107,-3.7203199999999996,A,http://www.crtm.es,0,est_90_18,,1
METRO,6,6_25,par_4_128,128,PUERTA DEL ANGEL,Paseo de Extremadura 26,40.4139,-3.72724,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6_26,par_4_129,129,ALTO DE EXTREMADURA,Paseo de Extremadura 154,40.409929999999996,-3.73894,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6_27,par_4_130,130,LUCERO,Calle de las Higueras 47,40.4051,-3.74534,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,7,7_0,par_4_296,296,HOSPITAL DEL HENARES,Cmno del Tiro SN,40.417609999999996,-3.53453,B1,http://www.crtm.es,0,,Europe/Madrid,2
METRO,7,7_1,par_4_292,292,HENARES,Avda de Algorta 12,40.417770000000004,-3.5271800000000004,B1,http://www.crtm.es,0,,Europe/Madrid,2
METRO,7,7_2,par_4_291,291,JARAMA,Plaza   Guernica 1,40.42295,-3.52549,B1,http://www.crtm.es,0,,Europe/Madrid,2
METRO,7,7_3,par_4_290,290,SAN FERNANDO,Calle de Gonzalo de Córdoba 24,40.424409999999995,-3.5354099999999997,B1,http://www.crtm.es,0,,Europe/Madrid,2
METRO,7,7_4,par_4_289,289,LA RAMBLA,Calle   Honduras 2,40.42514,-3.5479199999999995,B1,http://www.crtm.es,0,,Europe/Madrid,2
METRO,7,7_5,par_4_288,288,COSLADA CENTRAL,Calle del Doctor Fleming 41,40.42374,-3.5611900000000003,B1,http://www.crtm.es,0,,Europe/Madrid,2
METRO,7,7_6,par_4_287,287,BARRIO DEL PUERTO,Avda de España 8,40.4225,-3.5691900000000003,B1,http://www.crtm.es,0,,Europe/Madrid,2
METRO,7,7_7,par_4_286,286,ESTADIO METROPOLITANO,Avda de Arcentales 28,40.43339,-3.60015,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,7,7_8,par_4_132,132,LAS MUSAS,,40.432990000000004,-3.60788,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,7,7_9,par_4_133,133,SAN BLAS,,40.42799,-3.6154699999999997,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,7,7_10,par_4_134,134,SIMANCAS,,40.42799,-3.62572,A,http://www.crtm.es,0,,Europe/Madrid,0
